matrix_name,n_rows,n_cols,nnz_frac,min_value,max_value,avg_nz_p_row,std_nz_p_row
1138_bus,1138,1138,0.20045650958577468,-10000.0,20183.36,3.562390158172232,1.8021833806268253
494_bus,494,494,0.44255765542788766,-10000.0,20007.71,3.3724696356275303,1.4181198614312183
662_bus,662,662,0.35779154991283396,-2000.0,2016.129,3.7371601208459215,1.4841895166012695
685_bus,685,685,0.4192018754328947,-10000.0,26185.5,4.7430656934306565,1.7916185896743912
abb313,313,176,2.8263868719140284,1.0,1.0,4.97444089456869,0.8455777221558218
arc130,130,130,7.585798816568047,-105155.625,10.52057933807373,9.861538461538462,14.8078741247579
ash219,219,85,2.3529411764705883,1.0,1.0,2.0,0.0
ash292,292,292,1.4660349033589792,1.0,1.0,7.561643835616438,1.7476896794375956
ash331,331,104,1.9230769230769231,1.0,1.0,2.0,0.0
ash608,608,188,1.0638297872340425,1.0,1.0,2.0,0.0
ash85,85,85,4.2076124567474045,1.0,1.0,6.152941176470589,1.4017290361041395
ash958,958,292,0.684931506849315,1.0,1.0,2.0,0.0
bcspwr01,39,39,5.588428665351743,1.0,1.0,3.358974358974359,0.9996712148522015
bcspwr02,49,49,4.498125780924615,1.0,1.0,3.4081632653061225,1.39851768971525
bcspwr03,118,118,2.1330077563918417,1.0,1.0,4.033898305084746,1.5673155469006392
bcspwr04,274,274,1.256060525334328,1.0,1.0,5.883211678832117,3.29911665556356
bcspwr05,443,443,0.5263721089024658,1.0,1.0,3.6636568848758464,1.5749770687688942
bcspwr06,1454,1454,0.15973579500841015,1.0,1.0,3.645116918844567,1.5693243033224473
bcspwr07,1612,1612,0.14308012486992716,1.0,1.0,3.6129032258064515,1.6126922938997041
bcspwr08,1624,1624,0.14548551287340145,1.0,1.0,3.7253694581280787,1.7083384998305091
bcspwr09,1723,1723,0.13867887570741552,1.0,1.0,3.778874056877539,1.73669404881616
bcspwr10,5300,5300,0.048312566749733,1.0,1.0,4.1211320754716985,1.4422357648539972
bcsstk01,48,48,9.722222222222223,-109779731.332,2472387301.98,8.333333333333334,1.6244657241348273
bcsstk02,66,66,50.75757575757576,-3897.61891682,11761.3068234,66.0,0.0
bcsstk03,112,112,2.9974489795918364,-30414852966.4,171258001691.0,5.714285714285714,0.5890150893739516
bcsstk04,132,132,10.847107438016529,-649218.011166,8042107.20766,27.636363636363637,10.750104106101068
bcsstk05,153,153,5.502157289931223,-1438993.80568,3299077.72789,15.836601307189543,5.112406435329481
bcsstk06,420,420,2.3469387755102042,-23815694.6903,2421368668.8,18.714285714285715,6.465607599650096
bcsstk07,420,420,2.3469387755102042,-23815694.6903,2421368668.8,18.714285714285715,6.465607599650096
bcsstk08,1074,1074,0.6083351539173767,-8549396611.99,76062313865.6,12.067039106145252,21.07477980305071
bcsstk09,1083,1083,0.8321333050271594,-8483896.30793,39411962.7427,17.02400738688827,4.0882887723126915
bcsstk10,1086,1086,0.9816889323009405,-8054685.45504,17301431.4136,20.322283609576427,5.618405751004226
bcsstk11,1473,1473,0.8230060067409339,-66093576.1502,569419560.785,23.245756958587915,6.7360797088906965
bcsstk12,1473,1473,0.8230060067409339,-66093576.1502,569419560.785,23.245756958587915,6.7360797088906965
bcsstk13,2003,2003,1.0703615071651136,-583929119292.0,1191785641270.0,41.87868197703445,22.80429140097886
bcsstk14,1806,1806,1.000418195040771,-1403585186.659,8935001385.096,35.135105204872644,9.549864306203219
bcsstk19,817,817,0.5745413033023765,-7994655634510.0,139888987480500.0,8.388004895960833,2.3063964187911203
bcsstk20,485,485,0.7694760335848655,-269770731719600.0,1.212308599693e+16,6.463917525773196,2.359721526773795
bcsstk21,3600,3600,0.11651234567901234,-28998840.0,63797680.0,7.388888888888889,1.1283660206436605
bcsstk22,138,138,2.1896660365469436,-1599568.822554,4592606.486081,5.043478260869565,1.844967951559331
bcsstk23,3134,3134,0.2459387926396738,-628489394743300.0,2.082242396825e+16,14.415443522654755,4.866668097437276
bcsstk26,1922,1922,0.43661703415515185,-33502125878.25,127789989247.8,15.783558792924037,5.693797877100476
bcsstk27,1224,1224,1.913994083472169,-618206.76117736,1364068.2280794,45.85457516339869,9.793293122284812
bcsstm01,48,48,2.083333333333333,0.0,200.0,1.0,0.0
bcsstm02,66,66,1.5151515151515151,0.019746938665,0.172828573455,1.0,0.0
bcsstm03,112,112,0.8928571428571428,0.0,5403.5,1.0,0.0
bcsstm04,132,132,0.7575757575757576,0.0,0.172828573455,1.0,0.0
bcsstm05,153,153,0.6535947712418301,0.0730779208608,0.927954241357,1.0,0.0
bcsstm06,420,420,0.2380952380952381,0.00219908415009,7602.41022847,1.0,0.0
bcsstm07,420,420,2.1746031746031744,-752.492418239,1737.98142101,17.266666666666666,6.062793111880062
bcsstm08,1074,1074,0.0931098696461825,0.1746943,1444061.02862,1.0,0.0
bcsstm09,1083,1083,0.09233610341643582,2.59020384904e-08,0.000259020384904,1.0,0.0
bcsstm10,1086,1086,0.9826216130968732,-5721.39763313,14408.1774761,20.34254143646409,5.618682217198215
bcsstm11,1473,1473,0.0678886625933469,0.000267049742118,31.5781446884,1.0,0.0
bcsstm12,1473,1473,0.48697325795064733,-3.05291975125,7.75798445623,13.34623217922607,5.16301942453602
bcsstm13,2003,2003,0.29842904141042553,-116.0,141.926624,10.955067398901647,15.970766417520672
bcsstm19,817,817,0.12239902080783352,169.1885343594,39545184.07179,1.0,0.0
bcsstm20,485,485,0.2061855670103093,187.154177135,47795550.61535,1.0,0.0
bcsstm21,3600,3600,0.027777777777777776,6.181869888592e-06,0.0001466056100061,1.0,0.0
bcsstm22,138,138,0.7246376811594203,1.034497099314e-05,0.009737665826167,1.0,0.0
bcsstm23,3134,3134,0.031908104658583285,0.008741942292768,8270347.7171,1.0,0.0
bcsstm24,3562,3562,0.028074115665356544,5.616971531758e-08,1015347.127117,1.0,0.0
bcsstm25,15439,15439,0.006477103439341926,0.1151384482804,697709676.5337,1.0,0.0
bcsstm26,1922,1922,0.052029136316337155,5.782097672204e-06,1.512403544338,1.0,0.0
bcsstm27,1224,1224,1.913994083472169,-717.45235647794,1435.3924689891,45.85457516339869,9.793293122284812
beacxc,497,506,20.044774576311625,-0.024869099,1.0,101.42655935613682,127.68426200363724
beaflw,497,507,21.193432786065504,-15843.098,131947.56,107.45070422535211,129.05545298115874
beause,497,507,17.680441624103597,-15843.098,131947.56,89.63983903420524,128.89399924208246
blckhole,2132,2132,0.18704525694412666,1.0,1.0,6.975609756097561,0.9531058411950915
bp_0,822,822,0.4848420267462305,-206.9,238.95,3.9854014598540144,10.715851369859628
bp_1000,822,822,0.6898195014237425,-206.9,238.95,5.670316301703163,12.324369846530292
bp_1200,822,822,0.6994393829068026,-206.9,238.95,5.749391727493918,12.339400166417633
bp_1400,822,822,0.7089112662132002,-206.9,238.95,5.827250608272506,12.364765771612115
bp_1600,822,822,0.7164591732229859,-206.9,238.95,5.8892944038929445,12.169670618267446
bp_200,822,822,0.5626890676706863,-206.9,238.95,4.625304136253042,11.357420035862228
bp_400,822,822,0.596136655596403,-155.16,225.9,4.900243309002433,11.755509137192684
bp_600,822,822,0.6174483930357978,-206.9,238.95,5.075425790754258,12.039539664358065
bp_800,822,822,0.6710237329876096,-206.9,238.95,5.515815085158151,12.095186873443478
can_1054,1054,1054,0.5963547198888125,1.0,1.0,11.571157495256166,5.58717044779971
can_1072,1072,1072,0.5880694475384273,1.0,1.0,11.60820895522388,5.6474013110702534
can_144,144,144,3.4722222222222223,1.0,1.0,9.0,3.0
can_161,161,161,2.9667065313838203,1.0,1.0,8.5527950310559,1.220429723310821
can_187,187,187,2.39926792301753,1.0,1.0,7.973262032085562,1.4271363761575206
can_229,229,229,1.912625617360462,1.0,1.0,7.759825327510917,2.1226480876460276
can_24,24,24,15.972222222222221,1.0,1.0,6.666666666666667,1.7950549357115013
can_256,256,256,2.4200439453125,1.0,1.0,11.390625,7.232991228349098
can_268,268,268,2.332089552238806,1.0,1.0,11.5,5.758510897896611
can_292,292,292,1.6607243385250516,1.0,1.0,8.698630136986301,5.399606610497921
can_445,445,445,1.0741068046963766,1.0,1.0,8.559550561797753,1.257491626717144
can_61,61,61,8.3042192958882,1.0,1.0,9.131147540983607,3.872879260332925
can_62,62,62,3.6420395421436007,1.0,1.0,3.5161290322580645,1.0118959446037499
can_634,634,634,0.9779677377623421,1.0,1.0,11.400630914826499,3.840724774619434
can_715,715,715,0.7217956868306519,1.0,1.0,9.321678321678322,5.883723428156743
can_73,73,73,4.22218052167386,1.0,1.0,5.164383561643835,2.1645569550798553
can_838,838,838,0.7723811096997625,1.0,1.0,11.94510739856802,6.223317740537015
can_96,96,96,4.6875,1.0,1.0,8.0,1.4142135623730951
curtis54,54,54,9.979423868312757,1.0,1.0,5.388888888888889,1.8897057057438833
dwt_1005,1005,1005,0.47652285834509045,1.0,1.0,8.578109452736319,3.61906483178691
dwt_1007,1007,1007,0.4724623760784735,1.0,1.0,8.515392254220457,1.1695879056217817
dwt_1242,1242,1242,0.378201487912333,1.0,1.0,8.394524959742352,1.9504082667962097
dwt_162,162,162,2.5605852766346593,1.0,1.0,7.296296296296297,1.7352158185366635
dwt_193,193,193,4.947783833123037,1.0,1.0,18.098445595854923,6.044365137500709
dwt_198,198,198,2.0278543005815735,1.0,1.0,7.03030303030303,2.138887398184399
dwt_209,209,209,2.2343810810192077,1.0,1.0,8.339712918660288,2.2529941617110154
dwt_221,221,221,1.8939006162854977,1.0,1.0,7.3710407239819,1.605384971850621
dwt_234,234,234,0.975235590620206,1.0,1.0,3.5641025641025643,1.469836989535027
dwt_245,245,245,1.4210745522698875,1.0,1.0,5.963265306122449,2.595655229892792
dwt_2680,2680,2680,0.19287424816217422,1.0,1.0,9.338059701492538,1.855379221651796
dwt_307,307,307,1.5013421893070482,1.0,1.0,8.218241042345277,1.0924345255954335
dwt_310,310,310,1.4349635796045785,1.0,1.0,7.896774193548387,1.4730884542934741
dwt_346,346,346,1.4918640783186876,1.0,1.0,9.323699421965317,4.1641692316021
dwt_361,361,361,1.271475817404716,1.0,1.0,8.18005540166205,1.3431847040840015
dwt_419,419,419,1.1340787532538548,1.0,1.0,8.503579952267303,1.7428645049883957
dwt_492,492,492,0.7535197303192545,1.0,1.0,6.414634146341464,1.946131577818833
dwt_503,503,503,1.2904679280183708,1.0,1.0,11.98210735586481,4.986430686020477
dwt_512,512,512,0.7656097412109375,1.0,1.0,6.83984375,3.4671638230095123
dwt_59,59,59,4.682562482045389,1.0,1.0,4.52542372881356,0.9629744211079181
dwt_592,592,592,0.8126369612856099,1.0,1.0,8.621621621621621,1.606176446019777
dwt_607,607,607,0.7786695037847844,1.0,1.0,8.453047775947281,2.370331399130569
dwt_66,66,66,4.430670339761249,1.0,1.0,4.848484848484849,0.6334710594050568
dwt_72,72,72,2.8356481481481484,1.0,1.0,3.0833333333333335,0.6180165405913052
dwt_758,758,758,0.5875759706490487,1.0,1.0,7.907651715039578,1.4964935357175078
dwt_869,869,869,0.5398848722325438,1.0,1.0,8.383199079401612,1.6616553874526678
dwt_87,87,87,4.148500462412471,1.0,1.0,6.218390804597701,2.3164840944663196
dwt_878,878,878,0.5400293688804022,1.0,1.0,8.482915717539864,1.1813102912808253
dwt_918,918,918,0.4925693346813429,1.0,1.0,8.043572984749455,1.8276075413729416
dwt_992,992,992,0.9011609001040582,1.0,1.0,16.879032258064516,2.406619707871241
eris1176,1176,1176,0.7132444814660558,1.0,1.0,15.775510204081632,23.670188753452
fs_183_1,183,183,3.1920929260354147,-765000000.0,822724342.888,5.841530054644808,9.11505221564339
fs_183_3,183,183,3.1920929260354147,-765000000.1819,845851054.5051,5.841530054644808,9.11505221564339
fs_183_4,183,183,3.1920929260354147,-764999996.8591,815706447.3546,5.841530054644808,9.11505221564339
fs_183_6,183,183,3.1920929260354147,-765000000.0,873139178.159,5.841530054644808,9.11505221564339
fs_541_1,541,541,1.4640513050044246,-31.30990829143,31.30887439729,7.920517560073937,1.8589754572387065
fs_541_2,541,541,1.4640513050044246,-794378.7739674,794352.542541,7.920517560073937,1.8589754572387065
fs_541_3,541,541,1.4640513050044246,-5998263.151078,5998263.60944,7.920517560073937,1.8589754572387065
fs_541_4,541,541,1.4640513050044246,-798774.3611543,798776.5392034,7.920517560073937,1.8589754572387065
fs_680_1,680,680,0.5722318339100346,-48301583563000.0,48309651466430.0,3.8911764705882352,1.887243188148012
fs_680_2,680,680,0.5722318339100346,-48301583562990.0,48302300323520.0,3.8911764705882352,1.887243188148012
fs_680_3,680,680,0.5722318339100346,-48301583562990.0,48301616275510.0,3.8911764705882352,1.887243188148012
fs_760_1,760,760,1.0346260387811634,-219049554.9496,219159898.948,7.863157894736842,4.441693670130774
fs_760_2,760,760,1.0346260387811634,-219049554.9496,219055784.7649,7.863157894736842,4.441693670130774
fs_760_3,760,760,1.0346260387811634,-219049554.9505,219055788.1538,7.863157894736842,4.441693670130774
gemat1,4929,10595,0.09070567035385246,-16556.158,16556.158,9.610265773990667,70.16293578112175
gemat11,4929,4929,0.13659166082493956,-216.13911,622.5933,6.73260296206127,2.955803844165742
gemat12,4929,4929,0.13628707191726902,-216.13911,622.5933,6.7175897748021915,3.008707353067399
gent113,113,113,5.129610776098363,1.0,1.0,5.79646017699115,4.605036281189214
gr_30_30,900,900,0.5335802469135803,-1.0,8.0,8.604444444444445,1.0366517802908781
gre_1107,1107,1107,0.4621979372458585,1.788e-07,0.9091,5.116531165311653,1.402658296881037
gre_115,115,115,3.1833648393194705,5.96046e-08,0.952381,3.6608695652173915,0.9770136977522182
gre_185,185,185,2.9364499634769907,0.0,0.9351,5.4324324324324325,1.0639178118160673
gre_216a,216,216,1.8775720164609055,0.0,0.75,4.055555555555555,0.7556372504853024
gre_216b,216,216,1.8775720164609055,0.0,0.99032,4.055555555555555,0.7556372504853024
gre_343,343,343,1.2197298744570715,0.0,0.75,4.183673469387755,0.731284606823221
gre_512,512,512,0.836181640625,0.0,0.75,4.28125,0.7064159097160821
hor_131,434,434,2.500584000509673,-0.176999556,0.254143436,10.852534562211982,4.283868092513926
ibm32,32,32,12.3046875,1.0,1.0,3.9375,1.3678792892649556
illc1033,1033,320,1.4315101645692159,0.0,1.0,4.58083252662149,0.5201649935827948
illc1850,1850,712,0.6648952323109626,-0.2894762782,1.0,4.734054054054054,0.4598205258544666
impcol_a,207,207,1.3349203015239561,-376.0,680.0,2.763285024154589,1.6672476758061585
impcol_b,59,59,8.962941683424305,-2.64056,2.64056,5.288135593220339,1.595022421155063
impcol_c,137,137,2.18978102189781,-120.0,10.0,3.0,1.4448499025420987
impcol_d,425,425,0.7413148788927335,-10.0,10.0,3.1505882352941175,1.6931435107801365
impcol_e,225,225,2.5837037037037036,-5000.0,5000.0,5.8133333333333335,4.462266489377592
jagmesh1,936,936,0.41091387245233396,1.0,1.0,6.6923076923076925,0.7275005620056979
jagmesh2,1009,1009,0.38670793384809266,1.0,1.0,6.8037661050545095,0.603217084589394
jagmesh3,1089,1089,0.3562631912243733,1.0,1.0,6.75941230486685,0.6659541811707756
jagmesh4,1440,1440,0.2638888888888889,1.0,1.0,6.6,0.80863396471388
jagmesh5,1180,1180,0.32066934788853774,1.0,1.0,6.567796610169491,0.8445118292948995
jagmesh6,1377,1377,0.27345185902435964,1.0,1.0,6.530864197530864,0.8652654466142343
jagmesh7,1138,1138,0.3315717458248523,1.0,1.0,6.546572934973638,0.8436840891115778
jagmesh8,1141,1141,0.3305217604373979,1.0,1.0,6.54250657318142,0.8452519505733359
jagmesh9,1349,1349,0.28711930590212886,1.0,1.0,6.746478873239437,0.6709561761027858
jgl009,9,9,61.72839506172839,1.0,1.0,5.555555555555555,1.9499920860871385
jgl011,11,11,62.8099173553719,1.0,1.0,6.909090909090909,2.778310325442932
jpwh_991,991,991,0.6136968335605719,-15.0,1.0,6.081735620585268,2.6037269365999145
lns_131,131,131,3.123361109492454,-6316384470.0,6316384470.0,4.091603053435114,3.462890249574965
lns_3937,3937,3937,0.1639164568651718,-193820429000.0,193820429000.0,6.453390906781814,3.0555643946285493
lns_511,511,511,1.07076795814967,-28310569400.0,28310569400.0,5.471624266144814,3.436690072343536
lnsp3937,3937,3937,0.1639164568651718,-193820429000.0,193820429000.0,6.453390906781814,3.05556439462855
lnsp_131,131,131,3.123361109492454,-6316384470.0,6316384470.0,4.091603053435114,3.462890249574965
lnsp_511,511,511,1.07076795814967,-28310569400.0,28310569400.0,5.471624266144814,3.436690072343536
lshp1009,1009,1009,0.38670793384809266,1.0,1.0,6.8037661050545095,0.603217084589394
lshp1270,1270,1270,0.3080786161572323,1.0,1.0,6.8251968503937,0.5717728341293837
lshp1561,1561,1561,0.2511982290955756,1.0,1.0,6.842408712363869,0.5447510543701182
lshp1882,1882,1882,0.2087283634544389,1.0,1.0,6.8565356004250795,0.5212103812137674
lshp2233,2233,2233,0.17618312937737865,1.0,1.0,6.868338557993731,0.5004662116883798
lshp2614,2614,2614,0.15069524407741494,1.0,1.0,6.878347360367253,0.4820077481133585
lshp3025,3025,3025,0.13036268014479885,1.0,1.0,6.886942148760331,0.46544538871534064
lshp3466,3466,3466,0.11388347907910294,1.0,1.0,6.894402769763416,0.4504762542738219
lshp_265,265,265,1.436810252758989,1.0,1.0,6.615094339622641,0.8120312816762605
lshp_406,406,406,0.9470018685238661,1.0,1.0,6.689655172413793,0.7409495833285976
lshp_577,577,577,0.6707135755671629,1.0,1.0,6.740034662045061,0.6853318331306245
lshp_778,778,778,0.49976539938276904,1.0,1.0,6.776349614395887,0.6404176345669876
lund_a,147,147,6.006756444074228,-12179514.0,150000060.0,16.65986394557823,4.396189751959154
lund_b,147,147,5.988245638391411,-714.28613,3775.511,16.60544217687075,4.416354613228623
mahindas,1258,1258,0.4854148078687497,-15266873.0,13607688.0,6.106518282988871,9.54163025428271
mbeacxc,496,496,20.291363163371486,-0.024869099,0.74266028,100.64516129032258,126.62022169109885
mbeaflw,496,496,20.291363163371486,-3.7999973,15490.195,100.64516129032258,126.62022169109885
mbeause,496,496,16.69119081685744,-3.8999996,18108.598,82.7883064516129,126.42231750470691
mcca,180,180,8.206790123456791,-1.54993833e+19,9.31139124e+18,14.772222222222222,16.360124475061497
mcfe,765,765,4.166260839847922,-1.23852804e+17,3.15283778e+16,31.8718954248366,16.911281215658295
nnc1374,1374,1374,0.45585621089520706,-230.0,230.0,6.263464337700146,2.5279551876326267
nnc261,261,261,2.201964152023605,-230.0,230.0,5.747126436781609,2.515324940982056
nnc666,666,666,0.911722533344155,-230.0,230.0,6.072072072072072,2.523326770119084
nos1,237,237,1.1162741013726434,-614400000.0,1228800000.0,4.291139240506329,0.9698218384495165
nos2,957,957,0.2781026129853284,-39321600000.0,78643200000.0,4.322884012539185,0.9497449694118336
nos3,960,960,0.9116753472222221,-107.89795,264.3789,16.504166666666666,2.4533105467691794
nos4,100,100,3.47,-0.2,0.43577709,5.94,1.4478950238190615
nos5,468,468,1.2875301336839797,-115200.0,427200.0,11.051282051282051,2.458531817614906
nos6,675,675,0.4312757201646091,-1000000.0,4000001.0,4.822222222222222,0.4012326685615064
nos7,729,729,0.5029721079103796,-1000000.0,6000000.0,6.333333333333333,0.7200822998230956
orani678,2529,2529,1.4096347923595975,-4.09000015,4.09000015,35.64966389877422,86.01106074837939
orsirr_1,1030,1030,0.6464322744839287,-267559.619,266666.667,6.658252427184466,1.1293545086390853
orsirr_2,886,886,0.760513429367793,-267559.619,266666.667,6.738148984198646,1.392194689888287
orsreg_1,2205,2205,0.2906813519058417,-17001.6667,16666.6667,6.40952380952381,0.6421336316585742
plat1919,1919,1919,0.46595290614330626,-0.4587600528895103,1.7241134145056636,16.883272537780094,2.8741043463805656
plat362,362,362,2.345776990934343,-0.1272984283792374,0.4565516646204931,15.98342541436464,3.3356854027793803
plsk1919,1919,1919,0.13118587852312563,-0.6843500199731841,0.6843500199731841,5.034914017717561,1.1610000811982875
plskz362,362,362,0.6715301730716401,-0.37302534110081526,0.37302534110081526,4.861878453038674,1.2383087765619343
pores_1,30,30,20.0,-24613410.87,12934346.29,6.0,1.1547005383792515
pores_2,1224,1224,0.6416469093083856,-37805390.49,26255233.23,7.853758169934641,1.562641552390305
pores_3,532,532,1.22745774209961,-99637.19315,50640.05522,6.530075187969925,2.0170880881233284
rgg010,10,10,76.0,1.0,1.0,7.6,1.9595917942265426
