Stal Aanderaa
Hao Wang
Lars Aarvik
?
Martin Abadi
Zohar Manna
James Abbott
Richard Brent
Serge Abiteboul
Seymour Ginsburg
Karl Abrahamson
Michael J. Fischer
Hosame Abu-Amara
Michael Loui
John Addison
Stephen Kleene
Len Adleman
Manuel Blum
P.W. Adriaans
Peter van_Emde_Boas
Valery Agafonov
Boris Trakhtenbrot
Richa Agarwala
David Fernandez-Baca
Alok Aggarwal
Joseph O'Rourke
Shmuel Agmon
Scholem Mandelbrojt
Ajit Agrawal
Philip Klein
Al Aho
John Hopcroft
Bill Aiello
Shafi Goldwasser
Howard Aiken
E.L. Chaffee
Miklos Ajtai
Andras Hajnal
Varol Akman
William Randolph Franklin
Romas Aleliunas
Stephen Cook
Farid Alizadeh
J.B. Rosen
Brian Allen
Ian Munro
Eric Allender
Kimberly King
Helmut Alt
Kurt Mehlhorn
Lorenzo Alvisi
Keith Marzullo
Nancy Amato
Franco Preparata
Vardi Amdursky
Eli Shamir
Nina Amenta
Raimund Seidel
Foued Ameur
Friedhelm Meyer_auf_der_Heide
Amihood Amir
Dov Gabbay
D.G.M. Anderson
M. Krook
R.J. Anderson
Ernst W. Mayr
Arne Andersson
Svante Carlsson
Greg Andrews
Alan Shaw
Jamie Andrews
Don Sannella
Agnis Andzans
Rusins Martins Freivalds
Dana Angluin
Fred Annexstein
Arny Rosenberg
? Apers
? van_de_Riet
David Applegate
Ravi Kannan
Krzysztof Apt
Andrzej Mostowski
Lars Arge
Erik Meineche Schmidt
Eshrat Arjomandi
Derek G. Corneil
Dmitry Arkhangelsky
Mikhail Taitslin
Sanjeev Arora
Umesh Vazirani
Robert Ashenhurst
James Aspnes
Steven Rudich
Bengt Aspvall
Robert E. Tarjan
Mikhail Atallah
Rao Kosaraju
Hagit Attiya
Danny Dolev
Franz Aurenhammer
Herbert Edelsbrunner
Gideon Avrahami
Vaughan Pratt
Baruch Awerbuch
Shimon Even
Paul Axt
Yossi Azar
