ABBOTT, HARVEY L.
ACZEL, JANOS D.
AGOH, TAKASHI
AHARONI, RON
AIGNER, MARTIN S.
AJTAI, MIKLOS
ALAOGLU, LEONIDAS
ALAVI, YOUSEF
ALLADI, KRISHNASWAMI
ALON, NOGA
ANDERSON, JAMES MILNE
ANDRASFAI, BELA
ANKENY, NESMITH C.
ANNING, NORMAN H.
ARKIN, JOSEPH
ARNEY, DAVID C.
ARONOV, BORIS
ASH, J. MARSHALL
ASHBACHER, CHARLES D.
AVIS, DAVID M.
BABAI, LASZLO
BABU, GUTTI JOGESH
BAGEMIHL, FREDERICK
BALOG, ANTAL
BANKOFF, LEON
BARAK, AMNON BRACHA
BATEMAN, PAUL T.
BAUMGARTNER, JAMES E.
BEASLEY, LEROY B.
BECK, ISTVAN
BEHZAD, MEHDI
BEJLEGAARD, NIELS
BENKOSKI, STANLEY J.
BERGELSON, VITALY
BERGER, MARC ARON
BERTRAM, EDWARD A.
BIALOSTOCKI, ARIE
BLASS, ANDREAS R.
BLEICHER, MICHAEL N.
BOALS, ALFRED J.
BOAS, RALPH PHILIP, JR.
BOES, DUANE C.
BOLLOBAS, BELA
BONAR, DANIEL D.
BONDY, JOHN ADRIAN
BONNET, ROBERT
BOROSH, ITSHAK
BOSAK, JURAJ
BOVEY, JOHN D.
BRENNER, JOEL LEE
BRILLHART, JOHN D.
BRINDZA, BELA
BROWN, THOMAS CRAIG
BROWN, WILLIAM G.
BUCK, R. CREIGHTON
BURR, STEFAN ANDRUS
BUSOLINI, D. T.
CACCETTA, LOUIS
CALKIN, NEIL J.
CAMERON, PETER J.
CANFIELD, E. RODNEY
CARROLL, FRANCIS W.
CATER, FRANK S.
CATES, MARSHALL L.
CATLIN, PAUL A.
CHALK, JOHN H. H.
CHARTRAND, GARY
CHEN, CHUAN CHONG
CHEN, GUANTAO
CHEN, HANG
CHEN, ROBERT W.
CHINN, PHYLLIS ZWEIG
CHOI, S. L. G.
CHOWLA, SARVADAMAN D.
CHUI, CHARLES KAM-TAI
CHUNG, FAN RONG K.
CHUNG, KAI-LAI
CHVATAL, VACLAV
CLARK, BRENT N.
CLARK, LANE HENRY
CLARKSON, JAMES A.
CLUNIE, JAMES G.
COHEN, STEPHEN D.
COLBOURN, CHARLES J.
CONWAY, JOHN HORTON
COPELAND, ARTHUR H., SR.
CROFT, HALLARD T.
CSAKI, ENDRE
CSISZAR, IMRE
CZIPSZER, JANOS
DARLING, DONALD A.
DARST, RICHARD B.
DAVENPORT, HAROLD
DAVIES, ROY O.
DAYKIN, DAVID E.
DE BRUIJN, NICOLAAS GOVERT
DE CAEN, DOM
DE KONINCK, JEAN-MARIE
