Abay-Asmerom, G.
Agnihotri, N.
Aho, A.V.
Albertson, M.O.
Alexe, G.
Alles, P.
Alon, N.
Alspach, B.
Aubert, J.
Aurenhammer, F.
Avann, S.P.
Babai, L.
Balakrishnan, R.
Bandelt, H.-J.
Baranyai, Z.
Barcalkin, A.M.
Barnes, B.H.
Baron, G.
Batagelj, V.
Baumert, L.D.
Behzad, M.
Berge, C.
Bermond, J.-C.
Berrachedi, A.
Bhat, K. V.S.
Birkhoff, G.
Bollobas, B.
Borowiecki, M.
Brandstadt, A.
Brown, J.I.
Burr, S.A.
Catlin, P.A.
Chang, C.C.
Chang, T.Y.
Chao, C.-Y.
Chappell, G.G.
Chartrand, G.
Chastand, M.
Chen, G.
Chepoi, V.
Chiba, N.
Chung, F. R.K.
Clark, W.E.
Cockayne, E.J.
Collins, K.L.
Coppersmith, D.
Cormen, T.H.
Craft, D.L.
Cyvin, S.J.
Dahlmann, A.
Dakic, T.
deWerra, D.
Dirac, G.A.
Djokovic, D.Z.
Domke, D.
Domke, G.S.
Dorfler, W.
Dress, A.
Duffus, D.
Eaton, N.
El-Zahar, M.
Erdos, P.
Fan, C.
Farber, M.
Fary, I.
Farzan, M.
Faudree, R.J.
Feder, T.
Feigenbaum, J.
Fink, J.F.
Fischer, M.J.
Fisher, D.C.
Foldes, S.
Foregger, M.F.
Formann, M.
Frankl, P.
Frucht, R.
Gao, G.
Gardner, M.
Gedeonova, E.
Geller, D.
George, J.C.
Germa, A.
German, L.F.
Godsil, C.D.
Golumbic, M.C.
Graham, R.L.
Gravier, S.
Greenwell, D.
Groetschel, M.
Gromov, M.
Guo, F.
Gutman, I.
Gyori, E.
Habib, M.
Haddad, R.W.
Haemers, W.
Hagauer, J.
Haggkvist, R.
Hahn, G.
Hajos, G.
Hales, R.S.
Hall, Jr, M.
Harary, F.
Hare, E.O.
Hare, W.
Hartnell, B.L.
Hashimoto, J.
Hausdorff, F.
Hedetniemi, S.T.
Hell, P.
Hemminger, R.L.
Hendy, M.
Hershberger, J.,
Hertz, A.
Heydemann, M.C.
Hilton, A. J.W.
Holroyd, F.C.
Hopcroft, J.E.
Horton, J.D.
Huber, K.
Idury, R.M.
Imrich, W.
Isbell, J.R.
Izbicki, H.
Jacobson, M.S.
Jawhari, E.M.
Jensen, T.R.
Jha, P.K.
Johnson, A.
Jonsson, B.
Khelladi, A.
Kinch, L.F.
Klavzar, S.
Knauer, U.
Kotzig, A.
Koubek, V.
Kozen, D.
Krafft, O.
Kriesell, M.
Krivka, P.
Kriz, I.
Kumar, R.
Kuratowski, K.
Kwasnik, M.
Larose, B.
Laskar, R.C.
Laviolette, F.
Le, V.B.
Leierson, C.E.
Levit, V.E.
Limaye, N.B.
Linial, N.
Lint van, J.H.
Liu, J.
Lovasz, L.
Maamoun, M.
Mackey, K.E.
Mahmoodian, E.S.
Majumdar, A.
Mandrescu, E.
Maurer, M.C.
McAndrew, M.H.
McConnell, R.M.
McEliece, R.J.
McKenzie, R.
Meir, A.
Mellendorf, S.
Meyer, A.R.
Meyniel, H.
Miklos, D.
Miller, D.J.
Milutinovic, U.
Misane, D.
Moehring, R.H.
Mohar, B.
Mollard, M.
Montgomery, H.L.
Moon, J.W.
Morel, A.C.
Moulton, V.
Mulder, H.M.
Munro, I.
Nakayama, T.
Nash-Williams, C.St.J.A.
Nesetril, J.
Nebesky, L.
Nedela, R.
Neufeld, S.
Neumann-Lara, V.
Nieminen, J.
Nishizeki, T.
Niven, I.
Nowakowski, R.J.
Nowitz, L.A.
Olaru, E.
Pareek, C.M.
Parker, E.T.
Parthasarathy, K.R.
Parvathy, R.
Paulraja, P.
Payan, C.
Pesch, E.
Piotrowski, W.
Pisanski, T.
Plummer, M.D.
Polat, N.
Poljak, S.
Pollak, H.O.
Pouzet, M.
Prisner, E.
Pultr, A.
Quilliot, A.
Rodl, V.
Radermacher, F.J.
Rado, R.
Rall, D.F.
Ramachandran, S.
Ravindra, G.
Reed, M.B.
Ringel, G.
Rival, I.
Rivest, R.L.
Roberts, F.S.
Roberts, J.
Robertson, N.
Rodemich, E.R.
Romani, F.
Rosenfeld, M.
Roth, R.L.
Rumsey, H.C.
Russell, B.
Ryan, J.
Sabidussi, G.
Saks, M.E.
Sands, B.
Sarvate, D.G.
Sauer, N.
Schaffer, A.A.
Schonberg, I.J.
Schutte, H.
Scheinerman, E.R.
Schelp, R.H.
Schneider, B.
Schrijver, A.
Schwenk, A.J.
Scott, S.H.
Seifter, N.
Seshu, S.
Seymour, P.D.
Shannon, C.E.
Shawe-Taylor, J.
Shearer, J.B.
Shreve, W.E.
Slutzki, G.
Sonnemann, E.
Sotteau, D.
Spinrad, J.P.
Stahl, S.
Stanley, R.
Stong, R.
Szasz, Gy.R.
Szelecka, A.
Skoviera, M.
Skrekovski, R.
Tardif, C.
Taylor, H.
Thomas, R.
Thomason, A.
Tits, J.
Tosic, R.
Toft, B.
Trnkova, V.
Trofimov, V.I.
Truszczynski, M.
Tutte, W.T.
Ullman, D.H.
Ullman, J.D.
vande Vel, M.
Vazirani, U.
Vesel, A.
Vesztergombi, K.
Vince, A.
Vizing, V.G.
Wagner, F.
Wagner, K.
Waller, D.A.
Wallis, W.D.
Wang, Z.J.
Watanabe, Y.
Watkins, M.E.
Weichsel, P.M.
Weltz, E.
West, D.B.
White, A.T.
Whitehead, A.N.
Wiener, H.
Wilkeit, E.
Wilson, R.M.
Wimer, T.V.
Winkler, P.M.
Winograd, S.
Wloch, A.
Woodrow, R.E.
Xuong, N.H.
Yu, X.,
Yuster, R.
Zhou, H.
Zhou, M.
Zhu, X.
Zmazek, B.
Zuckerman, H.S.
Zwick, U.
Zerovnik, J.
