GILBERT GN
NARIN F
INHABER H
DEBBEAVER D
HUSTOPECKY J
VLACHY J
POLACEK V
BEAVER DD
GARFIELD E
BRAUN T
BEAVER DD
BOALT G
MORAVCSIK MJ
CHUBIN DE
BLAHA K
HUSTOPECKY J
VLACHY J
BEAVER DD
SZALAI A
RABKIN YM
KUNZ M
VLACHY J
VLACHY J
MULCHENKO ZM
RABKIN YM
BROZEK V
GARFIELD E
VLACHY J
DOBROV GM
INHABER H
KRAUZE TK
SMALL HG
SHEARER E
LENOIR T
FRAME JD
RABKIN YM
BRAUN T
CARSON J
GARFIELD E
MULKAY M
MILIC V
VLACHY J
SMALL H
LEIMKUHLER FF
SACHS L
PAO ML
REESPOTTER LK
INNES JM
YABLONSKY AI
COHEN JE
CARPENTER MP
HAITUN SD
CHUBIN D
GARFIELD E
KNORR KD
POKROVSKY VA
FRAME JD
SHELDON JC
LEPAIR C
GORDON MD
BONITZ M
LYON WS
LAWSON J
MORAVCSIK MJ
LYON WS
SIMONTON DK
PINSKI G
DEWITT TW
SMALL H
MANTEN AA
SULLIVAN D
ZUCKERMAN H
BROOKS H
AVERCH H
ZUCKERMAN H
MCCULLOCH R
MANSFIELD E
FREEMAN RB
ROSENBERG N
KUH CV
COLE S
BENDAVID J
PRICE DJD
BOWERS R
RIECKEN HW
LAPORTE TR
MORAVCSIK MJ
GARFIELD E
BECKER HA
RABKIN YM
CRANE D
HARGENS LL
PETERSON RA
EISEMON TO
GARFIELD E
VLACHY J
VLACHY J
VLACHY J
PEARSON RE
SMALL H
CRONIN B
ARUNACHALAM S
OROMANER M
POTTER WG
TAGUE J
SCHRADER AM
MARICIC S
SHAW WM
OROMANER M
WERLEY HH
HEFFNER AG
MARSHAKOVA IV
LEYDESDORFF L
PRICE DD
PRICE DD
MCALLISTER PR
OROMANER M
BINDON G
MALECKI EJ
FRIEZE IH
CHERNOGORENKO VB
FOLLY G
FRAME JD
TURNER CF
HUBERT JJ
NADEL E
YANOVSKY VI
SHAW WM
GRIFFITH BC
KOCHEN M
RUSHTON JP
VANHEERINGEN A
ADAMSON I
GIERYN TF
BRUER JT
HALL DH
BURKE CE
SCHUBERT A
HASTINGS T
MARTON J
INHABER H
MORSE PM
BRUNK GG
HURT CD
COHEN JE
MORAVCSIK EA
MENKES J
KARAMURZA SG
GRANOVSKII YV
ALLISON PD
LYON WS
OVER R
BRAUN T
GARFIELD E
VLACHY J
VLACHY J
OVER R
ROCHE M
TODOROV R
SUBRAMANYAM K
CHAPMAN ID
BEREZKIN VG
LYON WS
BUJDOSO E
LYON WS
PAO ML
FREIDES T
COZZENS SE
LAWANI SM
BLAIVAS A
NAGATA H
MARSHAKOVA IV
LUNDBERG VA
MENDENHALL M
DEMEY M
FOX MF
BROOKS H
HAITUN SD
DOBROV GM
KOCHEN M
ZSINDELY S
ZSINDELY S
HAITUN SD
FRAME JD
GRIFFITH BC
HAITUN SD
CHAPMAN ID
JAGODZINSKISIGOGNEAU M
BLICKENSTAFF J
INHABER H
SCHUBERT A
HAITUN SD
HAIGH MJ
NOMA E
MORAVCSIK MJ
HJERPPE R
BONITZ M
NOMA E
SHELISHCH PB
STEFANIAK B
BLICKENSTAFF J
SMART JC
KOENIG MED
LONG JS
LINDSEY D
LONG JS
MORAVCSIK MJ
PHILLIPS E
MCALLISTER PR
GRUPP G
CAMPBELL CA
SNIZEK WE
YANKEVICH WF
BRAUN T
KOESTER D
MACROBERTS MH
BONITZ M
SCHREIBER H
RUSHTON JP
RUSHTON JP
GARFIELD E
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
VLACHY J
DAVIS CH
MCALLISTER PR
SUBRAMANYAM K
LEAVY MD
SCHWARZ S
SUBRAMANYAM K
BROOKES BC
GREGORY JG
LENK P
KOENIG MED
SHAW WM
BUJDOSO E
MARTON J
WHITE HD
YERKEY AN
PERITZ BC
UEDA S
MIKHAILOV AI
TEIERMAN VA
RUSHTON JP
SMART JC
SMART JC
KOENIG MED
MARTIN BR
CHAPMAN ID
GALISON P
KRETSCHMER H
SOETE LG
SLATER PB
SCHUBERT A
BOND JS
CAMPBELL RS
CARPENTER MP
CALLON M
COZZENS SE
DEMAY M
MCALLISTER PR
HARGENS LL
MORLEY J
SCHOTT T
VLACHY J
KRETSCHMER H
RUSHTON JP
ROY R
SCHUBERT A
SCHUBERT A
